selected_variables.Longitude,selected_variables.Latitude
-122.628597,45.481942
-122.667227,45.497186
-125.769634,49.161514
-123.9846,48.395232
-123.883165,48.381683
-122.886887,42.966572
-117.587015,53.227966
-133.658476,56.285796
-135.699322,57.010242
-123.931618,48.027849
-119.283206,50.706003
-116.099892,44.911238
-121.809265,42.240035
-131.604401,55.019752
-111.504366,40.026951
-133.593793,55.820121
-111.337318,42.208605
-121.6914,38.005
-113.904421,50.939295
-123.634819,48.395863
-123.238898,49.210835
-124.150036,43.427213
-119.218977,46.23837
-106.419164,51.790725
-117.904072,56.29992
-112.64719,49.448909
-121.641078,37.991395
-124.134948,43.376793
-123.667035,46.172471
-120.579616,39.623999
-123.685448,48.773126
-148.839954,61.457529
-123.384032,48.41503
-122.460655,47.43959
-113.584085,47.323166
-111.873669,40.520767
-122.575166,49.364715
-116.138205,43.571628
-123.191255,49.221629
-122.731033,45.527681
-110.102914,49.659019
-113.261875,46.439716
-121.446975,43.926247
-117.724228,52.86105
-117.513135,47.727798
-121.55626,46.763049
-123.043848,49.249636
-111.765912,40.318925
-111.902737,40.385029
-121.641462,37.975999
-113.984032,46.86636
-111.692676,44.705245
-124.707808,49.988433
-123.470076,46.984455
-122.067911,45.588165
-135.323543,57.026922
-123.248062,48.847487
-123.144252,49.304258
-109.390495,40.899267
-122.582757,38.224788
-121.024214,39.260726
-114.618132,51.845774
-124.412031,48.592305
-123.969692,49.172316
-114.191755,46.306983
-110.69812,43.667637
-114.172177,46.092058
-161.741123,60.793562
-118.572431,37.27422
-134.825653,58.527169
-128.144619,51.66296
-114.154992,51.065803
-121.282961,38.745332
-123.235924,48.434905
-114.199136,48.824342
-123.630257,40.9814
-122.191247,47.86697
-150.154887,61.539895
-122.590706,54.078697
-121.968072,42.695538
-114.07675,46.556225
-124.774475,48.62875
-106.05735,53.6231
-110.759839,43.486669
-113.448967,50.827307
-123.184045,45.119186
-123.051936,38.465173
-117.641017,50.15013
-111.405875,40.787692
-129.195542,60.646053
-111.838493,50.532497
-149.320877,61.519002
-122.925032,48.175094
-123.654125,48.31418
-113.959845,49.487882
-122.493041,48.650941
-122.509507,47.369484
-124.307225,48.502789
-122.868603,48.707387
-120.879458,39.542383
-116.204754,43.60564
-161.776812,60.788942
-123.976498,46.19443
-122.804305,48.018381
-123.479468,49.39835
-116.573115,43.68489
-121.63173,38.588237
-110.027481,49.654544
-114.969907,52.845394
-111.869087,39.804756
-123.878796,45.47681
-123.748,49.037
-123.285974,60.933729
-121.540885,44.246236
-123.474173,48.433151
-122.470691,49.013523
-111.04945,45.711365
-114.049956,51.035481
-123.958601,49.506902
-124.021836,49.245328
-116.296804,43.651495
-123.892659,45.687733
-119.633534,45.912058
-125.886217,49.12504
-119.024972,46.705024
-122.831658,38.422887
-134.833744,57.089535
-123.29889,44.389496
-128.123467,50.844858
-113.251134,54.660305
-122.859741,38.48165
-122.272706,38.287137
-117.532568,47.415842
-123.505888,48.555478
-111.933103,41.237942
-161.317445,59.820592
-111.3301,42.184192
-123.265982,48.45109
-119.824056,39.520107
-125.393303,48.99172
-122.222953,44.228603
-121.248875,38.760496
-116.21637,43.611553
-112.4858,42.890803
-123.439413,48.520682
-127.025791,54.697486
-122.852764,45.735912
-123.653205,41.82192
-135.563788,57.137228
-122.517945,48.71118
-122.193949,45.431877
-117.493193,49.706412
-121.568539,38.583583
-124.096839,46.794086
-120.260013,52.309937
-122.832236,45.382192
-125.57947,48.947027
-123.704155,48.33937
-121.753833,38.451138
-122.515237,47.396847
-124.135273,49.517955
-123.313904,44.411589
-115.951684,41.786551
-121.447128,47.086808
-116.320111,43.678088
-146.680437,64.30223
-122.79993,45.518023
-122.012743,38.33408
-120.765063,37.790428
-124.362606,48.567969
-121.761937,38.072926
-119.524661,44.297273
-126.470074,49.795535
-122.898801,48.690923
-111.976137,40.478141
-122.612388,49.349213
-134.267326,58.228745
-124.116915,41.003115
-119.429595,46.380162
-123.06356,45.072224
-124.077805,48.426353
-114.858854,44.25323
-118.868182,42.967552
-114.820878,47.303213
-122.218925,48.455425
-123.200352,48.77769
-122.158506,47.415326
-123.946251,45.729174
-121.531272,37.937905
-123.506569,49.4007
-112.505142,42.901739
-111.588596,40.603502
-123.889436,49.151981
-121.376343,45.70916
-119.032599,43.585733
-122.486813,38.312237
-122.656158,48.966943
